Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Tests,Population
New Zealand,"36,162",56,3,"17,080","19,026",,"6,538,011","5,002,100"
Aruba,"33,618",211,,"33,355",52,7,"177,885","107,509"
Bahamas,"33,068",770,,"26,029","6,269",9,"217,912","399,401"
Lesotho,"32,434",696,,"23,116","8,622",,"391,628","2,170,078"
Faeroe Islands,"32,044",24,,"7,693","24,327",5,"774,000","49,167"
Mali,"30,346",720,,"28,550","1,076",,"615,392","21,205,399"
Haiti,"30,260",819,,"25,169","4,272",,"132,422","11,630,264"
Mauritius,"30,116",786,,"26,379","2,951",,"358,675","1,275,227"
Benin,"26,567",163,,"25,506",898,5,"604,310","12,642,957"
Somalia,"26,313","1,348",,"13,182","11,783",,"400,466","16,618,919"
Congo,"23,925",377,,"20,178","3,370",,"347,815","5,740,429"
Saint Lucia,"22,568",357,,"21,365",846,2,"133,501","185,002"
Timor-Leste,"22,485",125,,"21,423",937,20,"246,794","1,359,569"
Isle of Man,"22,407",79,,"22,054",274,,"150,753","85,770"
Burkina Faso,"20,751",375,,"20,309",67,,"248,995","21,841,401"
Taiwan,"20,100",852,,"18,050","1,198",,"11,375,956","23,887,427"
Cayman Islands,"18,728",17,,"8,553","10,158",2,"222,773","66,986"
Nicaragua,"17,895",219,,"4,225","13,451",,,"6,753,684"
Tajikistan,"17,388",124,,"17,252",12,,,"9,888,382"
South Sudan,"16,936",137,,"13,077","3,722",1,"330,958","11,408,742"
Equatorial Guinea,"15,874",182,,"15,625",67,5,"273,437","1,478,398"
Djibouti,"15,542",189,,"15,343",10,,"282,301","1,011,536"
Gibraltar,"14,873",101,,"13,993",779,16,"507,804","33,675"
San Marino,"14,207",112,,"13,703",392,4,"134,668","34,048"
CAR,"14,187",113,,"6,859","7,215",2,"81,294","4,967,301"
Grenada,"13,565",214,,"13,184",167,5,"135,013","113,377"
Gambia,"11,924",365,,"11,461",98,4,"135,608","2,527,783"
Yemen,"11,746","2,124",1,"8,580","1,042",23,"265,253","30,901,501"
Greenland,"11,581",13,1,"2,761","8,807",9,"164,926","56,931"
Bermuda,"11,423",123,,"11,096",204,,"787,731","61,901"
Liechtenstein,"11,302",76,1,"10,929",297,9,"80,413","38,307"
Dominica,"10,801",57,,"9,947",797,,"162,148","72,279"
Bhutan,"10,196",6,,"6,644","3,546",,"1,920,885","785,529"
Saint Martin,"9,827",63,,"1,399","8,365",7,"78,366","39,746"
Eritrea,"9,689",103,,"9,559",27,,"23,693","3,626,829"
Sint Maarten,"9,533",85,,"9,384",64,10,"62,056","43,674"
Monaco,"9,217",51,,"8,986",180,4,"54,960","39,698"
Niger,"8,743",306,,"8,409",28,1,"226,119","25,639,956"
Comoros,"8,021",160,,"7,812",49,,,"899,932"
Guinea-Bissau,"7,945",166,,"6,953",826,6,"122,558","2,044,149"
Caribbean Netherlands,"7,528",31,,"7,390",107,,"30,126","26,622"
Antigua and Barbuda,"7,408",135,,"7,189",84,1,"18,901","99,258"
Liberia,"7,360",290,,"5,747","1,323",2,"139,824","5,252,294"
